No,year,month,day,hour,record_number,pm2.5,DEWP,TEMP,PRES
41353,2014,9,20,0,6289,144,16,18,1010
41354,2014,9,20,1,6290,141,16,18,1010
41355,2014,9,20,2,6291,145,17,18,1010
41356,2014,9,20,3,6292,142,17,18,1009
41357,2014,9,20,4,6293,141,17,18,1009
41358,2014,9,20,5,6294,136,16,17,1009
41359,2014,9,20,6,6295,128,16,17,1010
41360,2014,9,20,7,6296,110,16,17,1010
41361,2014,9,20,8,6297,116,17,19,1011
41362,2014,9,20,9,6298,123,17,20,1011
41363,2014,9,20,10,6299,127,17,22,1011
41364,2014,9,20,11,6300,124,18,23,1011
41365,2014,9,20,12,6301,115,16,24,1010
41366,2014,9,20,13,6302,117,17,26,1010
41367,2014,9,20,14,6303,113,16,27,1009
41368,2014,9,20,15,6304,89,16,27,1008
41369,2014,9,20,16,6305,95,14,27,1008
41370,2014,9,20,17,6306,78,14,26,1008
41371,2014,9,20,18,6307,140,16,23,1009
41372,2014,9,20,19,6308,153,16,22,1010
41373,2014,9,20,20,6309,159,17,20,1011
41374,2014,9,20,21,6310,180,17,19,1012
41375,2014,9,20,22,6311,200,18,20,1012
41376,2014,9,20,23,6312,228,18,20,1013
41377,2014,9,21,0,6313,229,15,21,1014
41378,2014,9,21,1,6314,200,14,20,1014
41379,2014,9,21,2,6315,146,14,20,1015
41380,2014,9,21,3,6316,133,14,19,1015
41381,2014,9,21,4,6317,125,14,19,1016
41382,2014,9,21,5,6318,79,14,19,1016
41383,2014,9,21,6,6319,80,13,18,1017
41384,2014,9,21,7,6320,72,14,19,1017
41385,2014,9,21,8,6321,59,14,19,1018
41386,2014,9,21,9,6322,63,14,20,1018
41387,2014,9,21,10,6323,64,14,21,1019
41388,2014,9,21,11,6324,52,12,22,1018
41389,2014,9,21,12,6325,67,14,23,1018
41390,2014,9,21,13,6326,78,14,24,1017
41391,2014,9,21,14,6327,89,16,24,1017
41392,2014,9,21,15,6328,88,17,25,1016
41393,2014,9,21,16,6329,96,16,25,1016
41394,2014,9,21,17,6330,100,16,24,1016
41395,2014,9,21,18,6331,93,17,23,1016
41396,2014,9,21,19,6332,85,17,21,1017
41397,2014,9,21,20,6333,88,17,20,1018
41398,2014,9,21,21,6334,82,18,21,1018
41399,2014,9,21,22,6335,80,17,21,1018
41400,2014,9,21,23,6336,59,17,21,1019
41401,2014,9,22,0,6337,75,16,21,1019
41402,2014,9,22,1,6338,77,17,20,1019
41403,2014,9,22,2,6339,70,17,20,1019
41404,2014,9,22,3,6340,80,17,20,1019
41405,2014,9,22,4,6341,81,16,20,1019
41406,2014,9,22,5,6342,79,16,20,1018
41407,2014,9,22,6,6343,89,16,20,1019
41408,2014,9,22,7,6344,106,16,20,1019
41409,2014,9,22,8,6345,112,16,20,1019
41410,2014,9,22,9,6346,118,17,20,1020
41411,2014,9,22,10,6347,120,17,21,1020
41412,2014,9,22,11,6348,119,17,21,1019
41413,2014,9,22,12,6349,127,17,21,1019
41414,2014,9,22,13,6350,128,17,21,1018
41415,2014,9,22,14,6351,135,17,21,1017
41416,2014,9,22,15,6352,133,17,21,1017
41417,2014,9,22,16,6353,124,17,21,1016
41418,2014,9,22,17,6354,112,18,20,1017
41419,2014,9,22,18,6355,107,18,20,1017
41420,2014,9,22,19,6356,109,18,20,1018
41421,2014,9,22,20,6357,108,18,19,1018
41422,2014,9,22,21,6358,119,18,19,1018
41423,2014,9,22,22,6359,117,18,19,1018
41424,2014,9,22,23,6360,120,18,19,1018
41425,2014,9,23,0,6361,123,18,19,1018
41426,2014,9,23,1,6362,114,18,19,1018
41427,2014,9,23,2,6363,109,18,19,1018
41428,2014,9,23,3,6364,96,18,19,1017
41429,2014,9,23,4,6365,102,18,19,1017
41430,2014,9,23,5,6366,95,18,18,1017
41431,2014,9,23,6,6367,81,18,18,1018
41432,2014,9,23,7,6368,73,18,18,1018
41433,2014,9,23,8,6369,63,17,18,1018
41434,2014,9,23,9,6370,45,16,18,1019
41435,2014,9,23,10,6371,51,17,18,1019
41436,2014,9,23,11,6372,40,16,18,1018
41437,2014,9,23,12,6373,36,16,18,1018
41438,2014,9,23,13,6374,34,16,18,1018
41439,2014,9,23,14,6375,24,16,18,1017
41440,2014,9,23,15,6376,27,17,18,1017
41441,2014,9,23,16,6377,NA,17,18,1016
41442,2014,9,23,17,6378,38,17,18,1016
41443,2014,9,23,18,6379,42,17,18,1016
41444,2014,9,23,19,6380,NA,18,18,1016
41445,2014,9,23,20,6381,56,17,17,1016
41446,2014,9,23,21,6382,75,17,17,1017
41447,2014,9,23,22,6383,68,16,17,1016
41448,2014,9,23,23,6384,88,16,17,1017
41449,2014,9,24,0,6385,50,16,17,1017
41450,2014,9,24,1,6386,38,16,17,1017
41451,2014,9,24,2,6387,38,16,17,1017
41452,2014,9,24,3,6388,46,16,17,1016
41453,2014,9,24,4,6389,35,16,16,1016
41454,2014,9,24,5,6390,20,16,17,1016
41455,2014,9,24,6,6391,9,16,17,1016
41456,2014,9,24,7,6392,11,17,17,1017
41457,2014,9,24,8,6393,17,16,17,1017
41458,2014,9,24,9,6394,22,16,20,1018
41459,2014,9,24,10,6395,13,17,22,1018
41460,2014,9,24,11,6396,17,16,22,1017
